Min Players (group),Category,Category (group),Min Players,Name,Playtime,Avg Rating,Cnull,maxNRatePerMinPlayandCat,NamesMaxNR,Num Ratings,Playtime Num
Not Support Solo,Economic,Economic,2,Tzolk'in: The Mayan Calendar,,7.92748,1,61157,Tzolk'in: The Mayan Calendar,28786,90
Not Support Solo,Bluffing,Bluffing,2,Android: Netrunner,,7.89668,1,46905,Android: Netrunner,26001,45
Not Support Solo,Fighting,Fighting,2,Eclipse,,7.94262,1,59211,Eclipse,25542,180
Not Support Solo,Bluffing,Bluffing,3,A Game of Thrones: The Board Game (Second Edition),,7.6607,1,46905,A Game of Thrones: The Board Game (Second Edition),27362,240
Not Support Solo,Bluffing,Bluffing,3,Cosmic Encounter,,7.55528,1,46905,Cosmic Encounter,26335,120
Not Support Solo,Bluffing,Bluffing,3,Sheriff of Nottingham,,7.21073,1,46905,Sheriff of Nottingham,28017,60
Solo Support,Economic,Economic,1,Caverna: The Cave Farmers,,8.0693,1,61557,Caverna: The Cave Farmers,26739,210
Solo Support,Fighting,Fighting,1,Eldritch Horror,,7.85804,1,37075,Eldritch Horror,27732,240
Not Support Solo,Economic,Economic,2,Monopoly,,4.37636,1,61157,Monopoly,26676,180
Not Support Solo,Bluffing,Bluffing,3,Shadows over Camelot,,7.13334,1,46905,Shadows over Camelot,24892,80
Solo Support,Fighting,Fighting,1,Mage Knight Board Game,,8.10663,1,37075,Mage Knight Board Game,26609,240
Not Support Solo,Bluffing,Bluffing,4,BANG!,,6.52314,1,46905,BANG!,25506,40
Not Support Solo,Deduction,Deduction,2,Mysterium,,7.39843,1,62563,Mysterium,29442,42
Solo Support,Economic,Economic,1,Le Havre,,7.89077,1,61557,Le Havre,25443,150
Not Support Solo,Bluffing,Bluffing,5,The Resistance: Avalon,,7.62483,1,46905,The Resistance: Avalon,25833,30
Not Support Solo,Economic,Economic,2,Roll for the Galaxy,,7.72867,1,61157,Roll for the Galaxy,24800,45
Not Support Solo,Bluffing,Bluffing,3,Saboteur,,6.60249,1,46905,Saboteur,24198,30
Not Support Solo,Bluffing,Bluffing,2,Star Wars: X-Wing Miniatures Game,,7.75976,1,46905,Star Wars: X-Wing Miniatures Game,22459,45
Not Support Solo,Economic,Economic,2,San Juan,,7.27255,1,61157,San Juan,21812,60
Not Support Solo,Economic,Economic,2,Istanbul,,7.60923,1,61157,Istanbul,23680,60
Not Support Solo,Economic,Economic,2,Concordia,,8.10536,1,61157,Concordia,25711,100
